# DCGM Metrics - Standard + Profiling
# Format: DCGM field, Prometheus metric type, help text

# Standard metrics
DCGM_FI_DEV_SM_CLOCK,          gauge, SM clock frequency (in MHz).
DCGM_FI_DEV_MEM_CLOCK,         gauge, Memory clock frequency (in MHz).
DCGM_FI_DEV_MEMORY_TEMP,       gauge, Memory temperature (in C).
DCGM_FI_DEV_GPU_TEMP,          gauge, GPU temperature (in C).
DCGM_FI_DEV_POWER_USAGE,       gauge, Power draw (in W).
DCGM_FI_DEV_TOTAL_ENERGY_CONSUMPTION, counter, Total energy consumption since boot (in mJ).
DCGM_FI_DEV_PCIE_TX_THROUGHPUT, counter, PCIe TX bytes per second.
DCGM_FI_DEV_PCIE_RX_THROUGHPUT, counter, PCIe RX bytes per second.
DCGM_FI_DEV_GPU_UTIL,          gauge, GPU utilization (in %).
DCGM_FI_DEV_MEM_COPY_UTIL,     gauge, Memory utilization (in %).
DCGM_FI_DEV_ENC_UTIL,          gauge, Encoder utilization (in %).
DCGM_FI_DEV_DEC_UTIL,          gauge, Decoder utilization (in %).
DCGM_FI_DEV_FB_FREE,           gauge, Framebuffer memory free (in MiB).
DCGM_FI_DEV_FB_USED,           gauge, Framebuffer memory used (in MiB).

# Profiling metrics (tensor cores, pipes)
DCGM_FI_PROF_GR_ENGINE_ACTIVE,   gauge, Ratio of time the graphics engine is active.
DCGM_FI_PROF_SM_ACTIVE,          gauge, Ratio of cycles at least one warp is active on a SM.
DCGM_FI_PROF_SM_OCCUPANCY,       gauge, Ratio of number of warps resident on a SM.
DCGM_FI_PROF_PIPE_TENSOR_ACTIVE, gauge, Ratio of cycles the tensor (HMMA) pipe is active.
DCGM_FI_PROF_DRAM_ACTIVE,        gauge, Ratio of cycles the device memory interface is active.
DCGM_FI_PROF_PIPE_FP64_ACTIVE,   gauge, Ratio of cycles the fp64 pipe is active.
DCGM_FI_PROF_PIPE_FP32_ACTIVE,   gauge, Ratio of cycles the fp32 pipe is active.
DCGM_FI_PROF_PIPE_FP16_ACTIVE,   gauge, Ratio of cycles the fp16 pipe is active.
DCGM_FI_PROF_PCIE_TX_BYTES,      counter, PCIe transmit bytes.
DCGM_FI_PROF_PCIE_RX_BYTES,      counter, PCIe receive bytes.
